ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Opening,Title,Strengths,Opening,Title,Strengths
1005007383595844,https://ae-pic-a1.aliexpress-media.com/kf/Sa238cf11c7f648b49a4902cdd66d76e3z.jpg,,Baellerry RFID Simple Short Men Zipper Wallets Luxury Brand Card Holder Male Wallet Photo Holder Coin Pocket Man Purses,ILS 20.44,ILS 19.11,6%,ILS,7,ILS 1.34,7,ILS 1.34,1837,93.5%,https://s.click.aliexpress.com/e/_ooP4u1z,,,,,,
1005007168516701,https://ae-pic-a1.aliexpress-media.com/kf/S1269ce794c1e4042a5fdcb84b7f64d7aj.jpg,,1:16 4WD RC Car 70KM/H Or 50KM/H With LED Remote Control Cars High Speed Drift Monster 4x4 Truck for Kids vs Wltoys 144001 Toys,ILS 375.35,ILS 180.17,52%,ILS,7,ILS 12.61,7,ILS 12.61,4525,98.0%,https://s.click.aliexpress.com/e/_ok0ZpS3,,,,,,
1005005388377907,https://ae-pic-a1.aliexpress-media.com/kf/S8ab3f2a9f71a4db6b7a028a68cae07692.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/240096334/p/1/e/6/t/10301/1100213051686.mp4,Silicone Bracelet for Garmin fenix 7X 7 7S 6 6X Pro Watch Band Strap for fenix 5X 5S Plus 3HR 945 935 Wrist 20 22 26mm QuickFit,ILS 12.97,ILS 12.48,3%,ILS,8,ILS 1.00,7,ILS 0.87,5543,94.4%,https://s.click.aliexpress.com/e/_oDg1l4B,,,,,,
1005005298391897,https://ae-pic-a1.aliexpress-media.com/kf/S19d4dbddf13143feaab314da172d536bd.jpg,,UNIXINU Carry On Travel Bag Large Capacity Weekender Overnight Duffle Bags with Shoe Compartment Sports Fitness Bags for Women,ILS 97.55,ILS 45.80,53%,ILS,7,ILS 3.21,7,ILS 3.21,3193,93.3%,https://s.click.aliexpress.com/e/_oFxIQ6X,,,,,,
1005005649237551,https://ae-pic-a1.aliexpress-media.com/kf/S3f7f4a546e6246f1abf67202fd4c1015x.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/236969120/p/1/e/6/t/10301/4000052660870.mp4,Leather Men's Wallet Luxury Short RFID Card Holder for Men Zipper Coin Purse Portable Male Wallets Billfold,ILS 28.31,ILS 26.94,4%,ILS,8,ILS 2.16,7,ILS 1.89,3042,91.6%,https://s.click.aliexpress.com/e/_oDx58VN,,,,,,
1005007676490138,https://ae-pic-a1.aliexpress-media.com/kf/Sdf8b891f975f4df5ae27b9302ddd21af2.jpg,,Disney Lilo Stitch Colorful Backpack 3Pcs/Set for Women Casual School Bags with Lunch Bag Girl Boy Student Teenager Rucksack,ILS 59.13,ILS 56.76,4%,ILS,7,ILS 3.97,7,ILS 3.97,184,95.2%,https://s.click.aliexpress.com/e/_oDLknsn,,,,,,
1005007827482330,https://ae-pic-a1.aliexpress-media.com/kf/S1b98d6967ba94cfb969b3c5f34eefb87v.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2679338362/p/1/e/6/t/10301/4000233524325.mp4,Disney Stitch Cartoon Ladies Girl Steel Belt Belt High Quality Diamond Set Quartz Watch Women's Watches Quartz Wristwatch,ILS 26.62,ILS 12.78,52%,ILS,7,ILS 0.89,7,ILS 0.89,4869,94.3%,https://s.click.aliexpress.com/e/_oCTZ2D9,,,,,,
1005004346809031,https://ae-pic-a1.aliexpress-media.com/kf/S5761001468c14418b50dfeb8468e5963q.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/202769899/p/1/e/6/t/10301/1100039191639.mp4,"Wireless Bluetooth Mouse For Microsoft Surface GO Pro X Rechargeable Silent Mouse For Surface Pro 3 4 5 6 7 12.3"" Lite 2017 12""",ILS 27.81,ILS 27.81,0%,ILS,10,ILS 2.78,3,ILS 0.83,8,0.0%,https://s.click.aliexpress.com/e/_olmrtYn,,,,,,
1005006312972956,https://ae-pic-a1.aliexpress-media.com/kf/S332385f6070146ccb905a658e5e7a62d5.png,,HAUPTSON 70/100M Laser Rangefinder Distance Meter Rangefinder Laser Tape Range Finder Building,ILS 101.63,ILS 50.82,50%,ILS,7,ILS 3.56,7,ILS 3.56,10813,94.4%,https://s.click.aliexpress.com/e/_omthx8n,,,,,,
1005008334882783,https://ae-pic-a1.aliexpress-media.com/kf/Sd826b2237f0048a28748304a73f6dfb44.jpg,,SG116PRO/MAX Remote Control Car 1:1680KM/H Brushless Remote Control Car Four-Wheel Drive Professional Racing Off-road Drift Car,ILS 662.02,ILS 317.77,52%,ILS,7,ILS 22.24,7,ILS 22.24,2317,96.5%,https://s.click.aliexpress.com/e/_okKadpD,,,,,,
1005006737701450,https://ae-pic-a1.aliexpress-media.com/kf/Sd09b5a41d0814ab4b251f7cba7fb629dC.jpg,,40L Outdoor Waterproof Large Capacity Hiking Bag,ILS 65.97,ILS 32.98,50%,ILS,7,ILS 2.31,7,ILS 2.31,7064,84.7%,https://s.click.aliexpress.com/e/_op3TeZ9,,,,,,
1005009049670391,https://ae-pic-a1.aliexpress-media.com/kf/Sa0e84651dbcd4a81b988d672abd56660u.jpg,,HOBIBEAR Wide Toe Running Shoes Unisex Minimalist Artificial Leather Walking Sneakers Lace Up Lightweight Breathable Shoes,ILS 233.98,ILS 101.53,56%,ILS,7,ILS 7.11,7,ILS 7.11,120,95.6%,https://s.click.aliexpress.com/e/_oFkL6SR,,,,,,
1005006506761477,https://ae-pic-a1.aliexpress-media.com/kf/S20076683a20247aab8a85c0e0e1d7af5J.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2674392371/p/1/e/6/t/10301/1100212311377.mp4,"16103 Fast Rc Cars 50km/h 1/16 Off Road 4WD with LED Headlights,2.4G Waterproof Remote Control Monster Truck for Adults and Kids",ILS 415.12,ILS 177.59,57%,ILS,7,ILS 12.43,7,ILS 12.43,942,97.0%,https://s.click.aliexpress.com/e/_oDFusNH,,,,,,
1005006639021607,https://ae-pic-a1.aliexpress-media.com/kf/S00418d11ba81415db18d143d9031f82fC.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/239194804/p/1/e/6/t/10301/1100218627081.mp4,New Brand Designer Men Crossbody Bag PU Leather Classic Anti-Theft Shoulder Bag Chest Bag Multifunctional for Men,ILS 80.85,ILS 40.43,50%,ILS,7,ILS 2.83,7,ILS 2.83,5897,94.1%,https://s.click.aliexpress.com/e/_oojeBdt,,,,,,
1005007422481799,https://ae-pic-a1.aliexpress-media.com/kf/S9efc84cff41941538188adc2d1e81a6f8.jpg,,Mens BackPack LargeCapacity Simple Fashion Travel Female Student ComputerBag,ILS 76.27,ILS 32.79,57%,ILS,7,ILS 2.30,7,ILS 2.30,5495,91.0%,https://s.click.aliexpress.com/e/_oEri3Td,,,,,,
1005008262868204,https://ae-pic-a1.aliexpress-media.com/kf/S1adb24f121f14a1ebf3474c8dce1be70b.jpg,,HOBIBEAR Unisex Hiking Shoes Women Men Trail Running Outdoor Sneakers Artificial Leather Non Slip Lace-Up Walking Shoes,ILS 256.95,ILS 107.92,58%,ILS,7,ILS 7.55,7,ILS 7.55,1309,94.9%,https://s.click.aliexpress.com/e/_oFZk0Mj,,,,,,
